Tiempo binaria,Comparaciones Binarias,Tiempo Secuencial,Comparaciones Secuencial
1969,4,1266,10
509,2,238,1
313,1,347,5
660,4,366,10
495,4,331,10
474,3,319,10
366,2,217,2
526,4,409,10
500,3,293,6
810,4,477,10
454,4,439,10
515,4,351,10
10815,4,370,10
474,2,220,2
477,3,345,6
484,3,351,10
385,2,213,2
491,3,359,6
431,3,384,9
576,4,322,10
481,4,319,7
402,3,346,9
430,3,244,3
514,4,346,4
428,3,312,6
344,2,243,2
554,2,1195,2
304,1,295,5
410,2,244,2
505,3,434,10
943,6,2367,100
719,7,1682,100
551,4,1565,94
583,5,1519,91
563,6,1331,79
594,7,356,8
429,3,1484,87
524,5,1086,59
615,7,1583,100
1217,6,987,32
962,6,1214,66
717,2,2364,74
966,6,1656,100
885,6,1653,99
842,5,1527,90
884,7,1009,52
808,5,307,3
943,7,1718,100
871,7,1676,100
761,4,550,18
920,7,348,5
751,3,804,37
968,6,1565,89
965,7,1661,100
938,7,1719,100
856,6,1662,100
931,7,1565,55
891,5,1043,52
751,2,2436704,75
1661,7,2546,100
1447,9,5823,364
1744,10,17190,1000
1418,8,11006,613
1772,10,16752,1000
1424,10,16623,1000
1190,9,8684,547
1153,9,6014,345
935,8,2730,166
1224,10,16666,1000
1172,10,16355,1000
1177,8,3726,222
1064,8,4305,267
1228,10,16218,1000
1136,9,11333,696
1179,10,16406,1000
1414,10,16983,1000
1301,10,4389,266
1158,10,16554,1000
1193,10,7142,449
1107,10,16817,1000
1183,9,4099,181
1134,9,11601,758
1305,8,16393,946
1155,8,10832,643
1123,10,16010,1000
926,6,7738,515
1186,9,14432,891
1483,10,16281,1000
1275,10,15852,1000
1124,9,9821,611
3754,10,86310,6005
1323,14,139805,10000
1646,11,130297,9858
5348,14,137402,10000
1498,10,206810,9169
4397,13,69760,10000
3976,13,47757,10000
4564,12,42777,6197
2258,13,7287,10000
1800,13,6024,10000
1533,14,1984,10000
1633,13,321,871
2329,13,1210,5451
3739,3,362,1249
1727,14,1654,8275
1686,13,618,2920
3061,12,528,2091
4005,13,837,3591
4494,10,2097,9775
4725,13,815,3420
5377,12,929,3658
2691,13,1739,8078
3185,8,999,4179
2628,14,1061,4739
2354,11,1554,7455
2264,11,1338,5502
3415,12,1779,8618
3329,13,2122,10000
3117,13,2065,10000
4819,14,1078,5091
4406,16,6185,28976
4590,16,21915,100000
4591,17,21307,100000
4238,16,17453,83044
5004,16,20215,91100
4255,17,20088,100000
4451,17,16357,81974
4848,15,15754,81899
4772,17,20347,100000
4551,17,3706,16764
4835,16,4136,15988
5177,15,12887,57795
4757,15,5482,21967
4605,16,9545,47827
4104,11,2262,9520
4588,15,8080,39619
4574,13,17372,92832
4738,17,18960,100000
4225,13,5521,22814
4560,14,8431,35929
4598,16,21794,100000
4728,15,9466,45198
4935,14,4380,19732
4648,13,8959,43175
4586,16,8037,36126
4353,17,7942,39701
4266,9,16766,74413
4906,17,21227,100000
4527,14,21129,99528
4180,16,21647,100000
